S Ladda,3,-,-,-,-,-,-,-,-,-,-,-,-
AB Agarkar,27,17,9,160,39,20,132,121.21,0,0,0,12,5
Anureet Singh,3,-,-,-,-,-,-,-,-,-,-,-,-
Azhar Mahmood,1,1,0,6,6,6,7,85.71,0,0,0,1,0
L Balaji,35,5,4,13,9*,13,12,108.33,0,0,1,1,0
SB Bangar,1,1,0,2,2,2,9,22.22,0,0,0,0,0
R Bhatia,46,22,10,159,26*,13.25,130,122.3,0,0,0,15,3
MS Bisla,27,27,1,543,92,20.88,494,109.91,0,3,2,60,16
SE Bond,8,1,0,1,1,1,2,50,0,0,0,0,0
J Botha,4,3,0,31,17,10.33,15,206.66,0,0,0,5,1
MV Boucher,4,3,2,6,5,6,6,100,0,0,0,0,0
TA Boult,6,1,1,5,5*,-,8,62.5,0,0,0,0,0
DM Bravo,1,1,1,6,6*,-,5,120,0,0,0,1,0
KC Cariappa,1,-,-,-,-,-,-,-,-,-,-,-,-
PP Chawla,57,24,9,141,22,9.4,132,106.81,0,0,5,14,4
A Chopra,7,6,0,53,24,8.83,71,74.64,0,0,0,7,0
NM Coulter-Nile,8,3,0,14,6,4.66,12,116.66,0,0,0,0,2
PJ Cummins,4,1,0,0,0,0,2,0,0,0,1,0,0
TK Curran,5,4,1,23,18,7.66,28,82.14,0,0,0,3,0
DB Das,31,22,8,304,35*,21.71,261,116.47,0,0,1,23,16
C de Grandhomme,12,9,1,126,36,15.75,92,136.95,0,0,3,10,6
M de Lange,3,-,-,-,-,-,-,-,-,-,-,-,-
AB Dinda,29,6,2,4,2,1,8,50,0,0,2,0,0
P Dogra,1,1,0,5,5,5,8,62.5,0,0,0,0,0
G Gambhir,108,108,12,3035,93,31.61,2442,124.28,0,27,10,352,46
SC Ganguly,40,38,2,1031,91,28.63,933,110.5,0,7,3,104,36
RS Gavaskar,2,1,0,2,2,2,8,25,0,0,0,0,0
CH Gayle,16,16,1,463,88,30.86,327,141.59,0,2,1,45,26
AN Ghosh,2,2,0,7,7,3.5,8,87.5,0,0,1,1,0
SP Goswami,5,4,0,29,22,7.25,29,100,0,0,1,5,0
BJ Haddin,1,1,0,18,18,18,11,163.63,0,0,0,2,1
Harpreet Singh,1,-,-,-,-,-,-,-,-,-,-,-,-
JW Hastings,2,-,-,-,-,-,-,-,-,-,-,-,-
MC Henriques,4,3,1,38,30*,19,40,95,0,0,0,2,1
BJ Hodge,19,19,3,476,73,29.75,417,114.14,0,4,2,47,10
GB Hogg,11,3,2,7,5,7,6,116.66,0,0,0,0,0
JO Holder,4,4,0,22,13,5.5,19,115.78,0,0,1,2,1
DJ Hussey,23,23,4,511,71,26.89,404,126.48,0,2,3,31,28
Iqbal Abdulla,33,8,8,26,12*,-,32,81.25,0,0,0,1,0
SP Jackson,4,3,1,38,16,19,31,122.58,0,0,0,5,0
IR Jaggi,2,2,1,33,28,33,39,84.61,0,0,0,3,0
MG Johnson,6,2,2,16,12*,-,11,145.45,0,0,0,2,0
JH Kallis,56,54,5,1295,80*,26.42,1213,106.76,0,7,5,128,23
KD Karthik,16,16,6,498,52,49.8,337,147.77,0,2,0,49,16
M Kartik,26,7,2,73,21,14.6,69,105.79,0,0,0,5,0
Kuldeep Yadav,31,5,2,32,16,10.66,46,69.56,0,0,0,3,0
CK Langeveldt,4,1,0,0,0,0,1,0,0,0,1,0,0
B Lee,25,9,3,68,25,11.33,41,165.85,0,0,0,3,6
CA Lynn,27,27,3,869,93*,36.2,611,142.22,0,6,1,86,41
BB McCullum,35,35,3,882,158*,27.56,731,120.65,1,4,2,92,32
R McLaren,2,2,0,3,2,1.5,6,50,0,0,0,0,0
Mandeep Singh,3,2,0,4,4,2,11,36.36,0,0,1,1,0
Mashrafe Mortaza,1,1,1,2,2*,-,2,100,0,0,0,0,0
AD Mathews,15,12,4,249,65*,31.12,197,126.39,0,1,1,20,8
BAW Mendis,7,2,1,1,1*,1,2,50,0,0,1,0,0
Mohammad Hafeez,8,8,1,64,16,9.14,83,77.1,0,0,0,7,2
Mohammed Shami,3,1,0,5,5,5,10,50,0,0,0,0,0
EJG Morgan,26,22,2,444,66,22.2,357,124.36,0,2,1,45,16
M Morkel,29,5,5,9,4*,-,7,128.57,0,0,0,0,0
C Munro,4,3,0,30,16,10,30,100,0,0,0,3,0
SP Narine,98,48,12,628,75,17.44,372,168.81,0,3,4,76,35
S Narwal,2,1,0,23,23,23,15,153.33,0,0,0,4,0
MK Pandey,55,52,12,1270,94,31.75,1015,125.12,0,6,3,102,38
