AN Ahmed,10,10,31,1,257,8,2/13,32.12,8.29,23.2,0,0,2,0
CJ Anderson,16,11,22,0,217,5,2/18,43.4,9.86,26.4,0,0,6,0
STR Binny,1,1,1,0,9,0,-,-,9,-,0,0,0,0
AC Blizzard,7,-,-,-,-,-,-,-,-,-,-,-,4,0
DJ Bravo,30,30,87.4,1,719,26,3/24,27.65,8.2,20.2,0,0,15,0
JJ Bumrah,61,61,227,3,1773,63,3/7,28.14,7.81,21.6,0,0,7,0
JC Buttler,24,-,-,-,-,-,-,-,-,-,-,-,8,0
YS Chahal,1,1,4,0,34,0,-,-,8.5,-,0,0,0,0
UBT Chand,7,-,-,-,-,-,-,-,-,-,-,-,3,0
SD Chitnis,3,2,6,0,60,2,2/40,30,10,18,0,0,1,0
NM Coulter-Nile,1,1,4,0,29,1,1/29,29,7.25,24,0,0,1,0
BCJ Cutting,9,7,17,0,168,2,1/12,84,9.88,51,0,0,7,0
A Dananjaya,1,1,4,0,47,0,-,-,11.75,-,0,0,0,0
M de Lange,2,2,8,1,62,2,2/32,31,7.75,24,0,0,0,0
R Dhawan,6,5,15,1,109,2,1/6,54.5,7.26,45,0,0,3,0
S Dhawan,15,-,-,-,-,-,-,-,-,-,-,-,6,0
JP Duminy,26,10,26,0,166,5,2/15,33.2,6.38,31.2,0,0,9,0
BR Dunk,3,-,-,-,-,-,-,-,-,-,-,-,3,0
CRD Fernando,10,10,39,0,298,17,4/18,17.52,7.64,13.7,1,0,3,0
AJ Finch,3,-,-,-,-,-,-,-,-,-,-,-,0,0
JEC Franklin,20,15,25.1,0,220,9,2/18,24.44,8.74,16.7,0,0,6,0
CM Gautam,9,-,-,-,-,-,-,-,-,-,-,-,3,3
HH Gibbs,3,-,-,-,-,-,-,-,-,-,-,-,0,0
S Gopal,6,6,19.1,0,154,7,2/25,22,8.03,16.4,0,0,1,0
MJ Guptill,3,-,-,-,-,-,-,-,-,-,-,-,0,0
Harbhajan Singh,136,134,486.3,5,3385,127,5/18,26.65,6.95,22.9,1,1,40,0
MEK Hussey,9,-,-,-,-,-,-,-,-,-,-,-,3,0
Ishan Kishan,14,-,-,-,-,-,-,-,-,-,-,-,9,2
DJ Jacobs,7,-,-,-,-,-,-,-,-,-,-,-,3,2
ST Jayasuriya,30,21,49,1,390,13,3/14,30,7.95,22.6,0,0,4,0
MG Johnson,22,22,84,1,600,31,3/26,19.35,7.14,16.2,0,0,8,0
KD Karthik,36,-,-,-,-,-,-,-,-,-,-,-,17,4
Z Khan,26,26,91.4,1,664,26,3/21,25.53,7.24,21.1,0,0,6,0
MA Khote,4,2,5,0,51,2,2/29,25.5,10.2,15,0,0,0,0
DS Kulkarni,33,33,106.1,1,846,36,3/18,23.5,7.96,17.6,0,0,6,0
P Kumar,3,3,12,0,78,3,2/31,26,6.5,24,0,0,0,0
RE Levi,6,-,-,-,-,-,-,-,-,-,-,-,2,0
E Lewis,13,-,-,-,-,-,-,-,-,-,-,-,3,0
MJ McClenaghan,51,51,194.2,0,1661,68,4/21,24.42,8.54,17.1,1,0,1,0
CJ McKay,2,2,7,0,60,1,1/36,60,8.57,42,0,0,0,0
R McLaren,10,10,34,0,270,4,2/28,67.5,7.94,51,0,0,2,0
C Madan,1,-,-,-,-,-,-,-,-,-,-,-,0,0
SL Malinga,110,110,426.2,8,2928,154,5/13,19.01,6.86,16.6,4,1,20,0
M Markande,14,14,44,0,368,15,4/23,24.53,8.36,17.6,1,0,3,0
GJ Maxwell,3,2,2,0,23,0,-,-,11.5,-,0,0,1,0
Mohammad Ashraful,1,-,-,-,-,-,-,-,-,-,-,-,2,0
AG Murtaza,8,8,32,0,208,6,2/18,34.66,6.5,32,0,0,2,0
Mustafizur Rahman,7,7,27.3,0,230,7,3/24,32.85,8.36,23.5,0,0,2,0
C Nanda,3,3,8,0,57,2,1/4,28.5,7.12,24,0,0,0,0
GR Napier,1,1,4,0,27,1,1/27,27,6.75,24,0,0,0,0
AM Nayar,30,9,19,0,152,5,3/13,30.4,8,22.8,0,0,9,0
A Nehra,14,14,44.5,0,348,12,3/13,29,7.76,22.4,0,0,7,0
A Nel,1,1,3,0,31,1,1/31,31,10.33,18,0,0,0,0
PP Ojha,38,37,130.2,1,1004,29,3/11,34.62,7.7,26.9,0,0,3,0
JDP Oram,1,1,4,0,22,0,-,-,5.5,-,0,0,0,0
MK Pandey,3,-,-,-,-,-,-,-,-,-,-,-,0,0
HH Pandya,50,44,102.2,0,923,28,3/24,32.96,9.01,21.9,0,0,32,0
KH Pandya,39,37,111.2,0,793,28,3/14,28.32,7.12,23.8,0,0,13,0
MM Patel,31,31,116,3,862,40,5/21,21.55,7.43,17.4,2,1,8,0
PA Patel,40,-,-,-,-,-,-,-,-,-,-,-,22,6
RV Pawar,1,-,-,-,-,-,-,-,-,-,-,-,0,0
NLTC Perera,2,2,2.3,0,27,0,-,-,10.8,-,0,0,2,0
RJ Peterson,5,4,8,0,70,3,3/37,23.33,8.75,16,0,0,1,0
KA Pollard,132,81,199.5,0,1770,56,4/44,31.6,8.85,21.4,1,0,74,0
SM Pollock,13,13,46,1,301,11,3/12,27.36,6.54,25,0,0,2,0
RT Ponting,6,-,-,-,-,-,-,-,-,-,-,-,2,0
RW Price,1,1,3,0,33,0,-,-,11,-,0,0,0,0
AM Rahane,10,1,1,0,5,1,1/5,5,5,6,0,0,1,0
RR Raje,10,10,23.1,0,209,6,2/16,34.83,9.02,23.1,0,0,3,0
N Rana,17,1,1,0,3,0,-,-,3,-,0,0,4,0
AT Rayudu,114,-,-,-,-,-,-,-,-,-,-,-,45,2
L Ronchi,5,-,-,-,-,-,-,-,-,-,-,-,4,0
PJ Sangwan,1,1,2,0,19,0,-,-,9.5,-,0,0,0,0
K Santokie,2,2,8,0,90,3,2/50,30,11.25,16,0,0,1,0
R Sathish,21,8,13.1,0,122,2,1/11,61,9.26,39.5,0,0,6,0
PR Shah,14,-,-,-,-,-,-,-,-,-,-,-,10,2
RA Shaikh,1,1,1,0,11,0,-,-,11,-,0,0,0,0
KV Sharma,9,9,30.4,0,214,13,4/16,16.46,6.97,14.1,1,0,3,0
RG Sharma,128,8,9.2,0,101,1,1/20,101,10.82,56,0,0,57,0
R Shukla,1,1,3,0,31,0,-,-,10.33,-,0,0,0,0
LMP Simmons,29,1,3,0,34,1,1/34,34,11.33,18,0,0,10,0
RP Singh,11,11,41,0,318,10,3/28,31.8,7.75,24.6,0,0,3,0
DR Smith,24,13,29,0,237,9,3/26,26.33,8.17,19.3,0,0,11,0
TG Southee,14,14,53,1,425,12,3/24,35.41,8.01,26.5,0,0,5,0
J Suchith,14,13,41,0,368,10,2/14,36.8,8.97,24.6,0,0,8,0
TL Suman,10,3,6,0,50,0,-,-,8.33,-,0,0,3,0
P Suyal,5,5,16,0,151,2,1/21,75.5,9.43,48,0,0,1,0
A Symonds,11,3,4,0,41,1,1/11,41,10.25,24,0,0,5,0
YV Takawale,11,-,-,-,-,-,-,-,-,-,-,-,11,3
AP Tare,29,-,-,-,-,-,-,-,-,-,-,-,2,5
SR Tendulkar,78,4,6,0,58,0,-,-,9.66,-,0,0,23,0
DJ Thornely,6,4,7,0,40,3,2/7,13.33,5.71,14,0,0,3,0
SS Tiwary,24,-,-,-,-,-,-,-,-,-,-,-,4,0
RV Uthappa,14,-,-,-,-,-,-,-,-,-,-,-,9,0
R Vinay Kumar,17,17,55.3,1,463,12,2/17,38.58,8.34,27.7,0,0,6,0
