VR Aaron,6,6,20,0,163,7,2/3,23.28,8.15,17.1,0,0,0,0
KJ Abbott,5,5,16,0,177,2,1/38,88.5,11.06,48,0,0,0,0
YA Abdulla,11,11,34.5,1,307,15,4/31,20.46,8.81,13.9,2,0,0,0
L Ablish,3,3,7,0,75,3,2/17,25,10.71,14,0,0,0,0
AD Nath,1,-,-,-,-,-,-,-,-,-,-,-,1,0
MA Agarwal,11,-,-,-,-,-,-,-,-,-,-,-,2,0
HM Amla,16,-,-,-,-,-,-,-,-,-,-,-,0,0
Anureet Singh,17,17,59.4,0,534,15,3/23,35.6,8.94,23.8,0,0,4,0
R Ashwin,14,14,50.4,0,410,10,2/18,41,8.09,30.4,0,0,5,0
P Awana,33,33,124.3,2,1029,39,4/34,26.38,8.26,19.1,1,0,4,0
Azhar Mahmood,22,22,86.3,0,659,29,3/20,22.72,7.61,17.8,0,0,8,0
GJ Bailey,30,-,-,-,-,-,-,-,-,-,-,-,9,0
L Balaji,9,9,34,0,299,12,4/13,24.91,8.79,17,1,0,0,0
AB Barath,3,-,-,-,-,-,-,-,-,-,-,-,0,0
F Behardien,3,-,-,-,-,-,-,-,-,-,-,-,1,0
BA Bhatt,17,15,49.2,0,397,12,4/22,33.08,8.04,24.6,1,0,1,0
Bipul Sharma,15,12,33.4,0,272,8,2/32,34,8.07,25.2,0,0,4,0
MS Bisla,10,-,-,-,-,-,-,-,-,-,-,-,4,0
RS Bopara,15,7,14.2,0,132,5,3/31,26.4,9.2,17.2,0,0,5,0
RR Bose,1,1,2,0,24,0,-,-,12,-,0,0,0,0
KC Cariappa,9,9,32,0,286,7,2/16,40.85,8.93,27.4,0,0,3,0
PP Chawla,87,87,297.2,2,2237,84,4/17,26.63,7.52,21.2,1,0,22,0
SD Chitnis,7,-,-,-,-,-,-,-,-,-,-,-,1,0
P Dharmani,1,-,-,-,-,-,-,-,-,-,-,-,0,0
R Dhawan,20,20,66.2,0,531,16,2/14,33.18,8,24.8,0,0,3,0
P Dogra,3,-,-,-,-,-,-,-,-,-,-,-,1,0
JP Faulkner,2,2,8,0,72,3,2/41,24,9,16,0,0,1,0
AJ Finch,10,-,-,-,-,-,-,-,-,-,-,-,4,0
Gagandeep Singh,4,4,14,0,141,3,1/33,47,10.07,28,0,0,0,0
CH Gayle,11,-,-,-,-,-,-,-,-,-,-,-,2,0
AC Gilchrist,34,1,0.1,0,0,1,1/0,0,0,1,0,0,26,3
K Goel,22,6,11,0,93,0,-,-,8.45,-,0,0,9,0
MS Gony,8,8,28,0,256,7,2/24,36.57,9.14,24,0,0,0,0
MJ Guptill,7,-,-,-,-,-,-,-,-,-,-,-,6,0
Gurkeerat Singh,30,6,13,0,97,5,2/15,19.4,7.46,15.6,0,0,13,1
Harmeet Singh,10,10,33.4,0,278,12,3/24,23.16,8.25,16.8,0,0,2,0
RJ Harris,21,21,77,1,584,25,4/34,23.36,7.58,18.4,1,0,10,0
BE Hendricks,7,7,25,0,235,9,3/36,26.11,9.4,16.6,0,0,3,0
MJ Henry,2,2,5,0,71,1,1/31,71,14.2,30,0,0,0,0
JR Hopes,11,11,28,0,276,7,2/2,39.42,9.85,24,0,0,3,0
DJ Hussey,36,12,23,0,192,4,2/2,48,8.34,34.5,0,0,14,0
DPMD Jayawardene,36,-,-,-,-,-,-,-,-,-,-,-,16,0
