S Ladda,3,3,6,0,60,1,1/18,60,10,36,0,0,1,0
AB Agarkar,27,27,79,0,694,18,3/25,38.55,8.78,26.3,0,0,2,0
Anureet Singh,3,2,5,0,47,2,2/35,23.5,9.4,15,0,0,0,0
Azhar Mahmood,1,1,3,0,41,0,-,-,13.66,-,0,0,0,0
L Balaji,35,35,124.3,2,920,33,4/18,27.87,7.38,22.6,1,0,6,0
SB Bangar,1,-,-,-,-,-,-,-,-,-,-,-,0,0
R Bhatia,46,43,129,0,931,32,3/22,29.09,7.21,24.1,0,0,10,0
MS Bisla,27,-,-,-,-,-,-,-,-,-,-,-,15,7
SE Bond,8,8,31,1,224,9,2/24,24.88,7.22,20.6,0,0,1,0
J Botha,4,4,10,0,81,1,1/32,81,8.1,60,0,0,4,0
MV Boucher,4,-,-,-,-,-,-,-,-,-,-,-,1,0
TA Boult,6,6,23.5,0,216,5,2/30,43.2,9.06,28.6,0,0,0,0
DM Bravo,1,-,-,-,-,-,-,-,-,-,-,-,0,0
KC Cariappa,1,1,2,0,28,1,1/28,28,14,12,0,0,0,0
PP Chawla,57,56,178.5,0,1436,56,4/32,25.64,8.02,19.1,1,0,13,0
A Chopra,7,-,-,-,-,-,-,-,-,-,-,-,2,0
NM Coulter-Nile,8,8,28.2,0,228,15,3/20,15.2,8.04,11.3,0,0,2,0
PJ Cummins,4,4,14,1,126,2,1/29,63,9,42,0,0,1,0
TK Curran,5,5,10.1,0,118,6,2/19,19.66,11.6,10.1,0,0,1,0
DB Das,31,-,-,-,-,-,-,-,-,-,-,-,7,0
C de Grandhomme,12,9,16,0,135,4,3/4,33.75,8.43,24,0,0,2,0
M de Lange,3,3,10,0,107,3,3/34,35.66,10.7,20,0,0,0,0
AB Dinda,29,27,86.1,0,605,22,3/33,27.5,7.02,23.5,0,0,2,0
P Dogra,1,-,-,-,-,-,-,-,-,-,-,-,1,0
G Gambhir,108,-,-,-,-,-,-,-,-,-,-,-,20,0
SC Ganguly,40,16,36,0,268,8,2/21,33.5,7.44,27,0,0,15,0
RS Gavaskar,2,1,1,0,8,0,-,-,8,-,0,0,0,0
CH Gayle,16,13,34.5,0,296,5,1/9,59.2,8.49,41.8,0,0,7,0
AN Ghosh,2,-,-,-,-,-,-,-,-,-,-,-,1,0
SP Goswami,5,-,-,-,-,-,-,-,-,-,-,-,4,1
BJ Haddin,1,-,-,-,-,-,-,-,-,-,-,-,0,0
Harpreet Singh,1,-,-,-,-,-,-,-,-,-,-,-,0,0
JW Hastings,2,2,6.4,1,37,2,2/6,18.5,5.55,20,0,0,0,0
MC Henriques,4,4,12.1,0,107,2,1/32,53.5,8.79,36.5,0,0,3,0
BJ Hodge,19,13,25,0,202,9,3/29,22.44,8.08,16.6,0,0,6,0
GB Hogg,11,11,37,1,286,13,4/29,22,7.72,17,1,0,3,0
JO Holder,4,4,13,0,103,2,2/33,51.5,7.92,39,0,0,0,0
DJ Hussey,23,13,27,0,244,2,1/23,122,9.03,81,0,0,10,0
Iqbal Abdulla,33,32,102.2,0,674,28,3/24,24.07,6.58,21.9,0,0,8,0
SP Jackson,4,-,-,-,-,-,-,-,-,-,-,-,2,0
IR Jaggi,2,-,-,-,-,-,-,-,-,-,-,-,0,0
MG Johnson,6,6,21,0,216,2,1/30,108,10.28,63,0,0,2,0
JH Kallis,56,48,153,1,1153,42,3/13,27.45,7.53,21.8,0,0,16,0
KD Karthik,16,-,-,-,-,-,-,-,-,-,-,-,14,4
M Kartik,26,25,87.4,0,581,16,3/17,36.31,6.62,32.8,0,0,10,0
Kuldeep Yadav,31,30,104.2,0,858,35,4/20,24.51,8.22,17.8,1,0,8,0
CK Langeveldt,4,4,15,0,103,8,3/15,12.87,6.86,11.2,0,0,0,0
B Lee,25,25,95.2,2,723,16,2/26,45.18,7.58,35.7,0,0,4,0
CA Lynn,27,-,-,-,-,-,-,-,-,-,-,-,8,0
BB McCullum,35,-,-,-,-,-,-,-,-,-,-,-,18,6
R McLaren,2,2,7,0,94,3,2/60,31.33,13.42,14,0,0,1,0
Mandeep Singh,3,-,-,-,-,-,-,-,-,-,-,-,0,0
Mashrafe Mortaza,1,1,4,0,58,0,-,-,14.5,-,0,0,0,0
AD Mathews,15,13,39.5,0,345,8,4/19,43.12,8.66,29.8,1,0,4,0
BAW Mendis,7,7,28,0,207,6,2/19,34.5,7.39,28,0,0,2,0
Mohammad Hafeez,8,4,10,0,68,2,1/8,34,6.8,30,0,0,1,0
Mohammed Shami,3,3,9,0,78,1,1/32,78,8.66,54,0,0,0,0
EJG Morgan,26,-,-,-,-,-,-,-,-,-,-,-,9,0
M Morkel,29,29,111.3,2,870,32,2/18,27.18,7.8,20.9,0,0,7,0
C Munro,4,2,2,0,15,0,-,-,7.5,-,0,0,2,0
SP Narine,98,97,381.5,2,2498,112,5/19,22.3,6.54,20.4,6,1,17,0
S Narwal,2,1,2,0,17,0,-,-,8.5,-,0,0,0,0
MK Pandey,55,-,-,-,-,-,-,-,-,-,-,-,23,0
MB Parmar,1,1,3,0,33,0,-,-,11,-,0,0,0,0
YK Pathan,106,45,91,1,674,21,3/20,32.09,7.4,26,0,0,25,0
RT Ponting,4,-,-,-,-,-,-,-,-,-,-,-,2,0
M Prasidh Krishna,7,7,28,0,260,10,4/30,26,9.28,16.8,1,0,1,0
CA Pujara,10,-,-,-,-,-,-,-,-,-,-,-,2,0
AS Rajpoot,9,9,25,0,205,7,3/37,29.28,8.2,21.4,0,0,1,0
N Rana,15,5,6.1,0,44,4,2/11,11,7.13,9.2,0,0,2,0
AD Russell,43,42,120,0,1022,43,4/20,23.76,8.51,16.7,1,0,16,0
WP Saha,33,-,-,-,-,-,-,-,-,-,-,-,13,5
Salman Butt,7,-,-,-,-,-,-,-,-,-,-,-,2,0
PJ Sangwan,3,3,8,0,93,1,1/42,93,11.62,48,0,0,0,0
SS Sarkar,2,2,4.1,0,34,1,1/15,34,8.16,25,0,0,0,0
R Sathish,4,3,6,0,59,1,1/20,59,9.83,36,0,0,0,0
JPR Scantlebury-Searles,4,3,7,0,89,2,1/24,44.5,12.71,21,0,0,4,0
SMSM Senanayake,8,8,32,1,209,9,2/26,23.22,6.53,21.3,0,0,2,0
OA Shah,5,-,-,-,-,-,-,-,-,-,-,-,0,0
SS Shaikh,2,-,-,-,-,-,-,-,-,-,-,-,2,0
Shakib Al Hasan,43,42,153.3,1,1101,43,3/17,25.6,7.17,21.4,0,0,8,0
I Sharma,31,31,110.1,1,862,25,2/15,34.48,7.82,26.4,0,0,4,0
Shivam Mavi,9,9,28,0,270,5,1/14,54,9.64,33.6,0,0,3,0
Shoaib Akhtar,3,3,7,0,54,5,4/11,10.8,7.71,8.4,1,0,0,0
Shubman Gill,13,-,-,-,-,-,-,-,-,-,-,-,3,0
LR Shukla,42,22,43,0,364,14,3/6,26,8.46,18.4,0,0,13,0
RK Singh,4,-,-,-,-,-,-,-,-,-,-,-,4,0
T Taibu,3,-,-,-,-,-,-,-,-,-,-,-,1,0
RN ten Doeschate,29,10,13,0,94,2,1/7,47,7.23,39,0,0,8,0
MK Tiwary,54,3,3,0,34,1,1/11,34,11.33,18,0,0,30,0
Umar Gul,6,6,22.3,1,184,12,4/23,15.33,8.17,11.2,1,0,0,0
JD Unadkat,12,11,34.2,0,316,10,3/26,31.6,9.2,20.6,0,0,3,0
RV Uthappa,74,-,-,-,-,-,-,-,-,-,-,-,32,22
MN van Wyk,5,-,-,-,-,-,-,-,-,-,-,-,7,0
R Vinay Kumar,11,11,35.5,0,346,9,2/26,38.44,9.65,23.8,0,0,3,0
CR Woakes,13,13,44,0,386,17,3/6,22.7,8.77,15.5,0,0,6,0
SA Yadav,54,1,1,0,8,0,-,-,8,-,0,0,25,0
UT Yadav,47,47,161.3,0,1393,48,4/33,29.02,8.62,20.1,1,0,12,0
Yashpal Singh,8,-,-,-,-,-,-,-,-,-,-,-,3,0
